payment_id,user_id,subscription_id,payment_date,amount,promo_code,payment_status
B0-P001,B0-U001,S001,2026-02-01,50000.0,,success
B0-P002,B0-U001,B205-S002,2026-05-01,150000.0,PROMO15,success
B0-P003,B0-U001,B27-S003,2026-08-06,50000.0,,success
B0-P004,B0-U001,B259-S002,2026-06-15,75000.0,,failed
B0-P005,B0-U001,S002,2026-07-01,150000.0,PROMO20,success
P001,B0-U002,S003,2026-01-12,75000.0,DISC10,success
P002,B0-U002,S003,2026-02-12,75000.0,,success
P003,B0-U002,S003,2026-03-12,75000.0,DISC10,failed
P001,B0-U003,S001,2026-01-12,150000.0,,success
P002,B0-U003,S001,2026-02-12,150000.0,PROMO10,success
P003,B5-U004,B234-S001,2026-01-12,50000.0,,success
P004,B9-U015,B192-S004,2026-02-01,150000.0,,success
P005,B17-U014,B353-S001,2026-01-02,50000.0,,success
P006,B16-U007,B326-S001,2026-01-04,50000.0,NEWCUST,success
P007,B9-U001,S002,2026-02-12,150000.0,,success
P008,B6-U010,B129-S002,2026-01-15,50000.0,,success
P009,B10-U007,S002,2026-02-01,50000.0,PROMO5,failed
P010,B13-U008,B267-S003,2025-12-15,150000.0,,failed
P001,B0-U004,S002,2026-07-01,150000.0,,success
P002,B0-U004,S002,2026-07-22,150000.0,PROMO10,success
P003,B0-U004,S002,2026-08-01,150000.0,,failed
P004,B0-U004,S002,2026-08-22,150000.0,,success
P005,B0-U004,S002,2026-09-01,150000.0,PROMO20,success
B4-P001,B0-U005,S001,2026-01-11,50000.0,,success
B4-P002,B0-U005,S001,2026-02-11,50000.0,PROMO10,success
B4-P003,B0-U005,S001,2026-03-11,35000.0,,success
B4-P004,B0-U005,S001,2026-04-11,50000.0,,failed
B4-P005,B0-U005,S001,2026-05-11,50000.0,PROMO20,success
B5-P001,B0-U006,S002,2026-02-02,150000.0,,success
B5-P002,B0-U006,S002,2026-03-02,150000.0,PROMO10,success
B5-P003,B0-U006,S002,2026-04-02,150000.0,,success
B5-P004,B1-U019,S003,2026-02-01,150000.0,,success
B5-P005,B1-U015,S003,2026-02-05,150000.0,PROMO20,failed
B5-P006,B1-U005,S001,2026-01-12,50000.0,,success
B5-P007,B9-U001,S001,2026-01-12,50000.0,,success
B5-P008,B19-U028,S004,2026-01-20,50000.0,PROMO15,failed
B5-P009,B6-U001,B274-S002,2026-05-01,150000.0,,success
B6-P001,B0-U007,S001,2026-01-15,100000.0,,success
B6-P002,B0-U007,S001,2026-02-15,100000.0,WELCOME10,success
B6-P003,B18-U008,B367-S001,2026-01-20,150000.0,,success
B6-P004,B18-U008,B367-S001,2026-02-20,150000.0,NEWUSER,failed
B6-P005,B5-U015,B114-S003,2025-12-15,50000.0,,success
B6-P006,B14-U008,S002,2026-04-12,150000.0,,success
B6-P007,B4-U015,B94-S001,2026-01-20,50000.0,SPRING,success
B6-P008,B7-U002,B141-S002,2025-08-15,50000.0,,failed
B6-P009,B17-U017,S002,2026-04-12,50000.0,LOYAL,success
B6-P010,B13-U017,S001,2026-01-25,50000.0,,success
B6-P011,B4-U006,B85-S001,2026-01-15,150000.0,,success
P001,B0-U008,S003,2026-02-15,50000.0,,success
P002,B2-U020,S003,2026-02-20,25000.0,PROMO10,failed
P003,B14-U008,B94-S004,2026-02-25,150000.0,,success
P004,B4-U015,B94-S004,2026-03-01,150000.0,,success
P005,B12-U006,B245-S003,2026-03-05,50000.0,PROMO5,success
P006,B17-U005,B344-S001,2026-01-15,50000.0,,failed
P007,B0-U018,B17-S002,2026-07-10,50000.0,PROMO20,success
P008,B8-U012,B171-S003,2026-04-10,150000.0,,success
P009,B5-U009,B108-S002,2026-02-20,150000.0,,failed
P010,B11-U009,B228-S002,2026-02-15,50000.0,PROMO15,success
