user_id,activity_date,activity_count
B0-U001,2026-01-13,12
B0-U001,2026-01-14,9
B0-U001,2026-01-15,8
B0-U001,2026-01-16,7
B0-U001,2026-01-17,6
B0-U001,2026-01-18,5
B0-U001,2026-01-19,4
B0-U001,2026-01-20,3
B0-U001,2026-01-21,0
B0-U001,2026-01-22,3
B0-U001,2026-01-23,1
B0-U001,2026-01-24,0
B0-U001,2026-01-25,1
B0-U001,2026-01-26,2
B0-U001,2026-01-27,2
B0-U002,2026-01-28,5
B0-U002,2026-01-27,7
B0-U002,2026-01-26,6
B0-U002,2026-01-25,8
B0-U002,2026-01-24,4
B0-U002,2026-01-23,9
B0-U002,2026-01-22,6
B0-U002,2026-01-21,7
B0-U002,2026-01-20,0
B0-U002,2026-01-19,0
B0-U002,2026-01-18,1
B0-U002,2026-01-17,3
B0-U002,2026-01-16,1
B0-U002,2026-01-15,0
B0-U002,2026-01-14,1
B0-U003,2026-01-28,12
B0-U003,2026-01-27,9
B0-U003,2026-01-26,11
B0-U003,2026-01-25,10
B0-U003,2026-01-24,8
B0-U003,2026-01-23,9
B0-U003,2026-01-22,7
B0-U003,2026-01-21,6
B0-U003,2026-01-20,0
B0-U003,2026-01-19,1
B0-U003,2026-01-18,0
B0-U003,2026-01-17,0
B0-U003,2026-01-16,0
B0-U003,2026-01-15,3
B0-U003,2026-01-14,1
B0-U004,2026-01-27,12
B0-U004,2026-01-26,9
B0-U004,2026-01-25,11
B0-U004,2026-01-24,10
B0-U004,2026-01-23,9
B0-U004,2026-01-22,8
B0-U004,2026-01-21,7
B0-U004,2026-01-20,6
B0-U004,2026-01-19,5
B0-U004,2026-01-18,4
B0-U004,2026-01-17,3
B0-U004,2026-01-16,2
B0-U004,2026-01-15,2
B0-U004,2026-01-14,1
B0-U004,2026-01-13,3
B0-U005,2026-01-11,5
B0-U005,2026-01-12,4
B0-U005,2026-01-13,2
B0-U005,2026-01-14,0
B0-U005,2026-01-15,0
B0-U005,2026-01-16,0
B0-U005,2026-01-17,0
B0-U005,2026-01-18,0
B0-U005,2026-01-19,1
B0-U005,2026-01-20,1
B0-U005,2026-01-21,0
B0-U005,2026-01-22,1
B0-U005,2026-01-23,1
B0-U005,2026-01-24,0
B0-U005,2026-01-25,2
B0-U006,2026-01-25,7
B0-U006,2026-01-24,9
B0-U006,2026-01-23,8
B0-U006,2026-01-22,6
B0-U006,2026-01-21,5
B0-U006,2026-01-20,7
B0-U006,2026-01-19,6
B0-U006,2026-01-18,7
B0-U006,2026-01-17,6
B0-U006,2026-01-16,5
B0-U006,2026-01-15,4
B0-U006,2026-01-14,3
B0-U006,2026-01-13,4
B0-U006,2026-01-12,3
B0-U006,2026-01-11,2
B0-U007,2026-01-22,12
B0-U007,2026-01-21,9
B0-U007,2026-01-20,8
B0-U007,2026-01-19,7
B0-U007,2026-01-18,5
B0-U007,2026-01-17,6
B0-U007,2026-01-16,7
B0-U007,2026-01-15,6
B0-U007,2026-01-14,0
B0-U007,2026-01-13,1
B0-U007,2026-01-12,0
B0-U007,2026-01-11,2
B0-U007,2026-01-10,0
B0-U007,2026-01-09,1
B0-U007,2026-01-08,2
B0-U008,2026-01-24,9
B0-U008,2026-01-23,11
B0-U008,2026-01-22,10
B0-U008,2026-01-21,8
B0-U008,2026-01-20,7
B0-U008,2026-01-19,6
B0-U008,2026-01-18,5
B0-U008,2026-01-17,4
B0-U008,2026-01-16,3
B0-U008,2026-01-15,1
B0-U008,2026-01-14,2
B0-U008,2026-01-13,2
B0-U008,2026-01-12,3
B0-U008,2026-01-11,0
B0-U008,2026-01-10,0
B0-U009,2026-01-08,5
B0-U009,2026-01-09,7
B0-U009,2026-01-10,6
B0-U009,2026-01-11,4
B0-U009,2026-01-12,3
B0-U009,2026-01-13,2
B0-U009,2026-01-14,1
B0-U009,2026-01-15,0
B0-U009,2026-01-16,1
B0-U009,2026-01-17,3
B0-U009,2026-01-18,0
B0-U009,2026-01-19,3
B0-U009,2026-01-20,0
B0-U009,2026-01-21,2
B0-U009,2026-01-22,0
B0-U010,2026-01-09,12
B0-U010,2026-01-10,9
B0-U010,2026-01-11,7
B0-U010,2026-01-12,6
B0-U010,2026-01-13,5
B0-U010,2026-01-14,4
B0-U010,2026-01-15,3
B0-U010,2026-01-16,2
B0-U010,2026-01-17,2
B0-U010,2026-01-18,2
B0-U010,2026-01-19,1
B0-U010,2026-01-20,1
B0-U010,2026-01-21,1
B0-U010,2026-01-22,1
B0-U010,2026-01-23,3
B0-U011,2026-01-07,5
B0-U011,2026-01-08,4
B0-U011,2026-01-09,2
B0-U011,2026-01-10,1
B0-U011,2026-01-11,0
B0-U011,2026-01-12,0
B0-U011,2026-01-13,0
B0-U011,2026-01-14,0
